Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	Cnt_1 count	Cnt_2 count	Cnt_3 count	Cnt_4 count	Cnt_6 count	Oxy_1 count	Oxy_2 count	Oxy_3 count	Oxy_4 count	Oxy_5 count	Oxy_6 count	Cnt_1 normalised count	Cnt_2 normalised count	Cnt_3 normalised count	Cnt_4 normalised count	Cnt_6 normalised count	Oxy_1 normalised count	Oxy_2 normalised count	Oxy_3 normalised count	Oxy_4 normalised count	Oxy_5 normalised count	Oxy_6 normalised count
ENSDARG00000088234	3.134914428319588e-7	1.1207877168829445e-4	-1.5151560596747924	1	52433847	52437056	-1	protein_coding	si:ch211-217k17.12	si:ch211-217k17.12 [Source:ZFIN;Acc:ZDB-GENE-061207-20]	28	71	58	100	44	25	12	28	11	14	35	30.858683114922776	66.81294296931657	48.30448961710003	100.4317728039686	40.42050151959613	24.789940222516197	12.089785125144184	24.11354764364721	12.17765896374972	14.230150993614108	32.036268941528
ENSDARG00000041140	3.1644550210534416e-7	1.1207877168829445e-4	0.46595165510904407	18	20468157	20482855	1	protein_coding	ddb2	damage-specific DNA binding protein 2 [Source:NCBI gene;Acc:100004133]	123	139	143	156	171	193	199	216	190	184	200	135.55778654055362	130.8028038413381	119.09555198698801	156.673565574191	157.08876726933948	191.37833851782506	200.48893665864105	186.0187961081356	210.3413821011315	187.02484163035686	183.06439395158858
ENSDARG00000097826	4.460344438151239e-7	1.5542861546170565e-4	0.7207069799598286	12	39034225	39061186	1	protein_coding	si:dkey-239b22.2	si:dkey-239b22.2 [Source:ZFIN;Acc:ZDB-GENE-131120-8]	145	138	291	216	171	320	308	355	230	278	353	159.80389470227865	129.86177647557307	242.3552841133812	216.93262925657217	157.08876726933948	317.31123484820733	310.30448487870075	305.72533619624136	254.62377833294866	282.5701411589087	323.10865532455387
ENSDARG00000028098	4.55621104368146e-7	1.562491104741872e-4	0.7063817540571004	8	13503377	13505486	1	protein_coding	fut9d	fucosyltransferase 9d [Source:ZFIN;Acc:ZDB-GENE-050309-15]	475	434	586	389	559	906	552	1023	822	710	638	523.4955171281542	408.4058767420196	488.0419123382866	390.67959620743784	513.5240988512326	898.387433663987	556.1301157566324	881.0056871232533	910.0032425638426	721.6719432475727	583.9754167055676
ENSDARG00000103333	6.046097622433948e-7	2.04103029894821e-4	0.55031062926607	12	35654749	35689239	1	protein_coding	baiap2b	BAR/IMD domain containing adaptor protein 2b [Source:ZFIN;Acc:ZDB-GENE-100812-7]	107	150	156	124	128	190	178	200	138	210	222	117.92425333202632	141.15410486475332	129.92242034944147	124.53539827692106	117.58691351155237	188.4035456911231	179.33181268963872	172.2396260260515	152.7742669997692	213.45226490421163	203.20147728626333
ENSDARG00000040306	6.56003362464425e-7	2.1574569167093848e-4	0.8468228903594407	2	41504752	41518340	-1	protein_coding	otomp	otolith matrix protein [Source:NCBI gene;Acc:565818]	116	160	204	267	153	356	316	462	195	288	295	127.84311576182293	150.56437852240353	169.89854968773116	268.1528333865961	140.55310755677743	353.00874876863065	318.36434162879686	397.8735361201789	215.87668163010864	292.734534725776	270.01998107859316
ENSDARG00000030844	6.590703841833806e-7	2.1574569167093848e-4	0.46982280673906346	20	29502065	29505863	-1	protein_coding	klf11a	Kruppel-like factor 11a [Source:ZFIN;Acc:ZDB-GENE-030131-3568]	356	380	469	321	387	474	498	537	417	468	709	392.34611388973246	357.5903989907084	390.60009707620543	322.38599070073917	355.5166838200841	470.0172666189071	501.72608269348365	462.4633958799482	461.6439807166939	475.69361892938593	648.9632765583815
ENSDARG00000015947	6.775474538565443e-7	2.1848377224732298e-4	0.2804538563892941	6	52790049	52846194	1	protein_coding	matn4	matrilin 4 [Source:ZFIN;Acc:ZDB-GENE-050208-64]	2564	3374	4258	2877	3524	3695	3859	4456	3487	3759	4137	2825.7736966665	3175.0263320911845	3546.2158067174473	2889.422103570176	3237.314712614926	3663.953164887894	3887.873399827617	3837.4988678604273	3860.317891508661	3820.795541785388	3786.68698888861
ENSDARG00000058323	8.252026982417935e-7	2.6218388669873454e-4	0.5936911866463062	6	12996038	13022166	-1	protein_coding	tmbim1a	transmembrane BAX inhibitor motif containing 1a [Source:ZFIN;Acc:ZDB-GENE-041010-69]	105	149	211	173	165	251	250	282	178	234	214	115.72006168096041	140.2130774989883	175.7284018828984	173.74696695086567	151.57688069848547	248.89099983406263	251.87052344050383	242.85787269673258	197.05666323158636	237.84680946469297	195.87890152819978
ENSDARG00000010641	9.726882560560437e-7	3.045641995955192e-4	0.2098697650574797	10	17713022	17728165	1	protein_coding	slc20a1b	solute carrier family 20 member 1b [Source:NCBI gene;Acc:321541]	2300	2651	2885	2368	2704	3027	2803	3342	2503	2838	2951	2534.8203987257994	2494.6635466430735	2402.7319404367863	2378.224379997976	2484.023547931544	3001.5659621422615	2823.972308814929	2878.1241508953203	2770.970944205959	2884.6548942769173	2701.1151327556895
ENSDARG00000077060	1.043569527366602e-6	3.220902805536491e-4	-0.26405238310646945	6	42666694	42690736	1	protein_coding	rbm6	RNA binding motif protein 6 [Source:ZFIN;Acc:ZDB-GENE-050309-79]	551	716	686	613	707	533	499	585	500	518	549	607.2547998686589	673.7755938877558	571.3255151263901	615.6467672883275	649.483967598965	528.5215255440454	502.73356478724565	503.8009061262006	553.5299528977145	526.515586763722	502.51176139711066
ENSDARG00000098837	1.107168671186514e-6	3.369067484645723e-4	0.9263393337877678	6	2145564	2162446	-1	protein_coding	tgm5l	transglutaminase 5, like [Source:ZFIN;Acc:ZDB-GENE-110411-176]	31	28	32	26	35	58	54	68	59	44	55	34.164970591521644	26.34876624142062	26.650752892193122	26.112260929031834	32.152671663315104	57.51266131623758	54.40403306314883	58.561472848857505	65.3165344419303	44.72333169421577	50.34270833668686
ENSDARG00000060609	1.218257096652705e-6	3.6556173018307907e-4	0.523611822422208	20	49119633	49175503	1	protein_coding	cd109	CD109 molecule [Source:ZFIN;Acc:ZDB-GENE-120215-253]	157	246	284	220	243	365	290	422	249	313	288	173.02904460867416	231.49273197819545	236.52543191821397	220.9499001687309	223.2314061195877	361.9331272487365	292.16980719098444	363.4256109149686	275.6579165430618	318.145518642944	263.6127272902876
ENSDARG00000103459	1.3158091459733378e-6	3.8844492481308055e-4	0.33434437688633706	KN149912.1	57102	76613	-1	protein_coding	evplb	envoplakin b [Source:ZFIN;Acc:ZDB-GENE-030131-212]	3117	2885	4252	3217	3701	4172	3987	5215	3769	4037	4123	3435.232688186225	2714.863950232089	3541.218790550161	3230.89013110367	3399.9153664551195	4136.945224333504	4016.8311078291554	4491.1482486292925	4172.508784942972	4103.365682944297	3773.8724813119984
ENSDARG00000099819	1.330475558258179e-6	3.8844492481308055e-4	-0.45756511453328685	7	25033924	25040976	1	protein_coding	sb:cb1058	sb:cb1058 [Source:ZFIN;Acc:ZDB-GENE-040108-9]	494	484	629	519	541	396	309	374	413	317	456	544.4353378132804	455.4572450302707	523.853861537171	521.240900852597	496.98843913867057	392.67265312465656	311.31196697246276	322.08810066871627	457.2157410935122	322.2112760696909	417.386818209622
ENSDARG00000074201	1.4623650046343577e-6	4.21258612335004e-4	0.2913072935192781	23	19759128	19809027	1	protein_coding	flna	filamin A, alpha (actin binding protein 280) [Source:ZFIN;Acc:ZDB-GENE-030131-2145]	2367	2427	3213	2479	2842	3286	3054	4033	2628	3164	2916	2608.6608190365077	2283.8734167117086	2675.9021575817656	2489.7036478103814	2610.796939061186	3258.3897428475293	3076.850314349195	3473.212058815328	2909.3534324303873	3216.014124556789	2669.0788638141617
ENSDARG00000057408	1.4985193364544507e-6	4.2599355610655805e-4	0.6355157299803614	15	45668851	45674213	-1	protein_coding	CABZ01067232.1	otolin-1-like [Source:NCBI gene;Acc:101886389]	219	318	324	357	297	504	381	703	316	469	404	241.35898579171743	299.246702313277	269.83887303345534	358.5414289101679	272.83838525727384	499.7651948859266	383.85067772332786	605.422285481571	349.8309302313555	476.71005828607264	369.79007578220893
ENSDARG00000111102	1.564706231466341e-6	4.390321835172766e-4	-0.3158178961889676	24	25692802	25695056	1	protein_coding	camk2n2	calcium/calmodulin-dependent protein kinase II inhibitor 2 [Source:ZFIN;Acc:ZDB-GENE-040718-389]	779	864	999	723	862	576	621	712	606	644	810	858.532648090173	813.0476440209791	832.003191853154	726.121717372693	791.8743706793605	571.1602227267732	625.6463802262115	613.1730686527433	670.87830291203	654.586945706249	741.4107955039337
ENSDARG00000038321	1.6140511484380172e-6	4.470714751538893e-4	-1.5165129025017907	9	33080438	33081978	-1	protein_coding	zgc:172053	zgc:172053 [Source:ZFIN;Acc:ZDB-GENE-080219-25]	51	118	81	59	33	18	27	16	34	21	21	56.20688710218077	111.04122916027261	67.45971825836384	59.254745954341466	30.315376139697094	17.848756960211663	27.202016531574415	13.779170082084118	37.64003679704459	21.34522649042116	19.2217613649168
ENSDARG00000052063	1.7085293606653652e-6	4.672503397110786e-4	0.33760762990894355	7	51103232	51194430	1	protein_coding	col4a5	collagen, type IV, alpha 5 (Alport syndrome) [Source:ZFIN;Acc:ZDB-GENE-030131-2281]	3660	4042	5341	4752	4676	5891	5179	6843	4514	5384	5416	4033.67072145062	3803.6326124222196	4448.177224912609	4772.517843644588	4295.596934218897	5841.501514033717	5217.749763593478	5893.178804481351	4997.268414760566	5472.5094964013115	4957.383788209018
ENSDARG00000055172	1.8151450881765008e-6	4.899402898405866e-4	0.47050533837392927	3	25154078	25165189	1	protein_coding	si:ch211-256m1.8	si:ch211-256m1.8 [Source:ZFIN;Acc:ZDB-GENE-131127-417]	170	200	291	203	265	293	263	342	324	296	294	187.35629034060258	188.20547315300442	242.3552841133812	203.87649879205625	243.44165687938576	290.53809940788983	264.96779065941	294.52976050454805	358.687409477719	300.8660495792697	269.1046591088352
ENSDARG00000042336	1.8368508899369362e-6	4.899402898405866e-4	-0.2839106037471048	18	8805575	8842818	1	protein_coding	impdh1a	IMP (inosine 5'-monophosphate) dehydrogenase 1a [Source:NCBI gene;Acc:431724]	480	630	727	565	572	432	460	569	448	417	525	529.005996255819	592.847240431964	605.4717922695125	567.4395163424225	525.4665197547497	428.37016704507994	463.4417631305271	490.0217360441165	495.9628377963522	423.8552117383631	480.54403412292004
ENSDARG00000054160	2.2507281978122597e-6	5.930119843138278e-4	-1.3102118362665836	10	40786196	40819136	-1	protein_coding	zgc:113625	zgc:113625 [Source:ZFIN;Acc:ZDB-GENE-050320-47]	50	78	75	110	118	47	30	40	21	18	49	55.104791276647816	73.40013452967173	62.46270209107763	110.47495008436545	108.40043589346234	46.60508761833045	30.22446281286046	34.447925205210296	23.248258021704007	18.295908420361	44.850776518139206
ENSDARG00000077726	2.4478190936729946e-6	6.371702592627115e-4	-0.42192788797951597	14	46028003	46042136	1	protein_coding	nocta	nocturnin a [Source:ZFIN;Acc:ZDB-GENE-050208-306]	352	512	561	436	521	342	408	375	348	282	305	387.93773058760064	481.8060112716913	467.2210116412607	437.88252942530306	478.6154839024905	339.1263822440216	411.05269425490224	322.94929879884654	385.25684721680926	286.63589858565564	279.17320077617256
ENSDARG00000011407	2.4952053255409805e-6	6.41772750694201e-4	0.2529397356089037	11	32007	55224	-1	protein_coding	col2a1b	collagen, type II, alpha 1b [Source:ZFIN;Acc:ZDB-GENE-050302-9]	5237	5536	7381	6114	6046	7440	6475	8389	5740	6898	7343	5771.675838316092	5209.527496875163	6147.16272178992	6140.39858923464	5554.144367897232	7377.486210220821	6523.4465571090495	7224.591113662729	6354.523859265762	7011.398682425009	6721.209223932575
ENSDARG00000062929	2.768583109849231e-6	6.983407690497661e-4	0.3320951237447167	1	8127675	8141135	-1	protein_coding	FAM83G	si:dkeyp-9d4.4 [Source:ZFIN;Acc:ZDB-GENE-121214-254]	341	359	415	390	377	458	416	592	391	446	479	375.8146765067381	337.8288243096429	345.62695157062956	391.6839139354775	346.3302062019941	454.15170487649675	419.1125510049984	509.8292930371124	432.8604231660127	453.33195308227806	438.4392235140547
ENSDARG00000007369	2.779787370436468e-6	6.983407690497661e-4	0.29706213859404673	8	52106818	52230115	-1	protein_coding	tcf7l1b	transcription factor 7 like 1b [Source:NCBI gene;Acc:30556]	376	401	554	466	460	552	524	608	443	525	588	414.3880304003916	377.35197367177386	461.3911594460934	468.0120612664936	422.57797043214134	547.3618801131577	527.920617131296	523.6084631191965	490.42753826737504	533.6306622605291	538.2093182176704
ENSDARG00000070972	2.9006622921651465e-6	7.203311358876781e-4	-0.43529261185705553	19	9174166	9179858	1	protein_coding	si:ch211-81a5.8	si:ch211-81a5.8 [Source:ZFIN;Acc:ZDB-GENE-060503-138]	466	656	708	470	506	415	378	398	377	391	450	513.5766546983576	617.3139519418545	589.6479077397728	472.0293321786524	464.83576747535545	411.5130076937689	380.8282314420418	342.75685579184244	417.3615844848767	397.42778846450835	411.8948863910743
ENSDARG00000006588	2.990225124172578e-6	7.341342478153244e-4	-0.730947571527993	1	45173421	45177401	-1	protein_coding	zgc:111983	zgc:111983 [Source:ZFIN;Acc:ZDB-GENE-050417-335]	1503	2593	2549	2528	2013	1380	1102	1589	1218	1010	1581	1656.4500257760333	2440.083959428702	2122.8990350687586	2538.915216484326	1849.2379445215229	1368.4047002828943	1110.245267325741	1368.443828776979	1348.3989652588325	1026.6037502535894	1447.1240341873076
ENSDARG00000098121	3.6416263092001425e-6	8.840150158457201e-4	-0.3601702482365859	6	28222989	28224964	1	lincRNA	FP101882.1	NA	406	519	476	403	457	329	345	385	318	320	364	447.45090516638027	488.3932028320465	396.4299492713727	404.74004439999345	419.82202714671433	326.23561332831315	347.5813223478953	331.56128010014913	352.0450500429464	325.26059413975105	333.1771969918912
ENSDARG00000102802	3.901518891998412e-6	9.365812851291743e-4	-0.29208382745599054	6	24364678	24392915	-1	protein_coding	brdt	bromodomain, testis-specific [Source:NCBI gene;Acc:333996]	958	1164	1466	1058	1200	854	870	952	958	863	1043	1055.8078008605721	1095.3558537504857	1220.9376168735973	1062.5681562659877	1102.3773141708034	846.8243580011533	876.5094215729533	819.860619884005	1060.5633897520208	877.1871648206411	954.6808144575344
ENSDARG00000099411	4.229244097259178e-6	0.0010012340015335885	-0.49427276829095546	5	9823754	9824908	-1	protein_coding	zgc:158343	zgc:158343 [Source:NCBI gene;Acc:568780]	182	208	242	251	258	170	126	164	157	134	196	200.58144024699806	195.7336920791246	201.54631874721048	252.08374973796117	237.01112254672273	168.57159351311014	126.94274381401394	141.2364933413622	173.80840520988235	136.20287379602075	179.40310607255682
ENSDARG00000070787	4.263528263878275e-6	0.0010012340015335885	0.26570900845382767	11	11719575	11781911	1	protein_coding	jupa	junction plakoglobin a [Source:ZFIN;Acc:ZDB-GENE-991207-22]	2172	2244	3254	2319	2608	3075	2801	3536	2684	2494	3067	2393.752133057581	2111.6654087767097	2710.048434724888	2329.0128113240316	2395.8333627978795	3049.1626473694923	2821.957344627405	3045.1965881405904	2971.3487871549314	2534.999755576685	2807.292481247611
ENSDARG00000036558	4.342443939306397e-6	0.0010088010893410182	0.3118893625087359	9	41821613	41979505	1	protein_coding	col18a1a	collagen type XVIII alpha 1 chain a [Source:ZFIN;Acc:ZDB-GENE-030516-3]	1758	1943	2582	2056	2171	2735	2333	3199	2101	2441	2442	1937.4844612869372	1828.416171681438	2150.3826239888326	2064.8772488495943	1994.3842908873453	2712.019460343272	2350.455724746782	2754.9728182866934	2325.932862076196	2481.1284696722887	2235.2162501488965
ENSDARG00000032619	5.0752109226997176e-6	0.0011664886381375255	-0.24258200923072382	3	18185616	18189283	-1	protein_coding	tob1a	transducer of ERBB2, 1a [Source:ZFIN;Acc:ZDB-GENE-031030-4]	2034	2226	2980	2194	2313	1957	1835	2041	1807	1760	2158	2241.6629091340333	2094.7269161929394	2481.8513630854845	2203.473095319071	2124.8322730642235	1940.5565206185681	1848.7296420532982	1757.7053835958554	2000.4572497723402	1788.933267768631	1975.2648107376408
ENSDARG00000089312	5.186440355390023e-6	0.0011795057250336995	1.8964079627486783	3	5331428	5342333	1	protein_coding	si:ch73-106l15.4	si:ch73-106l15.4 [Source:ZFIN;Acc:ZDB-GENE-131120-96]	5	0	10	12	4	22	14	23	22	23	31	5.510479127664782	0	8.32836027881035	12.051812736476231	3.6745910472360115	21.815147395814254	14.104749312668215	19.80755699299592	24.35531792749944	23.378105203794608	28.37498106249623
ENSDARG00000052115	5.461638656328325e-6	0.001229153158020557	-1.109758759865523	25	10410620	10436906	1	protein_coding	ehf	ets homologous factor [Source:ZFIN;Acc:ZDB-GENE-060312-7]	16	37	37	34	28	11	10	15	14	13	19	17.6335332085273	34.81801253330582	30.814933031598297	34.14680275334932	25.72213733065208	10.907573697907127	10.074820937620153	12.917971951953861	15.498838681136005	13.213711636927387	17.391117425400914
ENSDARG00000075676	5.5245142048205315e-6	0.001230485870053068	0.4453026868947962	23	1580294	1587955	-1	protein_coding	fndc7b	fibronectin type III domain containing 7b [Source:ZFIN;Acc:ZDB-GENE-100922-114]	175	188	242	210	249	250	273	381	263	272	255	192.86676946826736	176.91314476382416	201.54631874721048	210.90672288833403	228.7432926904417	247.899402225162	275.0426115970302	328.1164875796281	291.1567552241978	276.4715050187884	233.40710228827544
ENSDARG00000004748	6.845287304157441e-6	0.0015091064510849134	-0.5337735787223101	3	39472342	39488639	-1	protein_coding	zgc:100868	zgc:100868 [Source:ZFIN;Acc:ZDB-GENE-040801-33]	1952	2906	3461	3418	2494	1949	1685	2360	1949	1582	1919	2151.2910514403306	2734.625524913154	2882.4454924962624	3432.7579944396466	2291.1075179516533	1932.6237397473628	1697.6073279889958	2032.4275871074076	2157.659756395291	1608.0070622783944	1756.5028599654925
ENSDARG00000032801	7.215204657707684e-6	0.0015745908750482275	-0.6196533799080628	10	2715548	2755378	1	protein_coding	grk5	G protein-coupled receptor kinase 5 [Source:ZFIN;Acc:ZDB-GENE-091204-274]	100	140	135	122	113	89	67	100	70	62	77	110.20958255329563	131.74383120710309	112.43286376393974	122.52676282084168	103.80719708441733	88.25218719215766	67.50130028205503	86.11981301302575	77.49419340568002	63.01924011457677	70.47979167136161
ENSDARG00000005774	7.855430307704293e-6	0.001695750351077328	0.1550150408330683	6	59832786	59850404	1	protein_coding	ddx3xb	DEAD-box helicase 3 X-linked b [Source:ZFIN;Acc:ZDB-GENE-980526-150]	3147	3715	4106	3340	3815	3987	3845	4270	3285	3937	4256	3468.2955629522135	3495.9166638170573	3419.62473047953	3354.421211652551	3504.641211301346	3953.4996666868833	3873.768650514949	3677.3160156561994	3636.691790537984	4001.7217472756247	3895.610303289805
ENSDARG00000105104	7.927367991613522e-6	0.001695750351077328	-0.6707928637331989	21	45496442	45499853	1	protein_coding	si:dkey-223p19.1	si:dkey-223p19.1 [Source:ZFIN;Acc:ZDB-GENE-120215-140]	97	192	175	117	138	60	89	110	111	61	92	106.90329507669676	180.67725422688426	145.74630487918114	117.50517418064325	126.77339112964239	59.49585653403888	89.66590634481936	94.73179431432831	122.88364954329262	62.00280075789004	84.20962121773074
ENSDARG00000017676	8.5299936235819e-6	0.0018067697278184996	0.24710548742461408	7	35410050	35432901	-1	protein_coding	mmp2	matrix metallopeptidase 2 [Source:ZFIN;Acc:ZDB-GENE-030131-9123]	1255	1360	1916	1401	1485	1653	1677	1944	1460	1651	1878	1383.1302610438602	1279.7972174404301	1595.7138294200631	1407.0491369836	1364.1919262863694	1639.110847512771	1689.5474712388998	1674.1691649732204	1616.3074624613262	1678.1413778897781	1718.9746592054169
ENSDARG00000077778	9.387123111981669e-6	0.001968869609017164	0.46207004244706457	11	19157879	19227802	1	protein_coding	adamts9	ADAM metallopeptidase with thrombospondin type 1 motif, 9 [Source:ZFIN;Acc:ZDB-GENE-070814-6]	107	144	154	123	153	165	185	219	136	210	181	117.92425333202632	135.50794067016318	128.2567482936794	123.53108054888136	140.55310755677743	163.61360546860692	186.38418734597283	188.60239049852638	150.56014718817835	213.45226490421163	165.67327652618766
ENSDARG00000100693	9.477548684924094e-6	0.001968869609017164	0.44645093198994934	6	34960025	35032792	-1	protein_coding	ddr2a	discoidin domain receptor tyrosine kinase 2a [Source:ZFIN;Acc:ZDB-GENE-090316-2]	138	175	235	163	188	231	227	289	155	266	263	152.08922392354796	164.67978900887888	195.71646655204324	163.7037896704688	172.70577922009255	229.05904765604967	228.6984352839775	248.8862596076444	171.59428539829148	270.37286887866804	240.729678046339
ENSDARG00000101043	1.0163686091046881e-5	0.0020912994094958843	0.34297560752093154	3	36459790	36481986	-1	protein_coding	ppl	periplakin [Source:ZFIN;Acc:ZDB-GENE-041008-196]	4653	4660	6845	5485	5408	7032	6373	8769	5905	6110	5910	5128.051876204846	4385.187524465003	5700.762610845685	5508.682738297677	4968.047095863088	6972.914385789356	6420.6833835453235	7551.846403112228	6537.1887437220075	6210.444469355872	5409.552841269443
ENSDARG00000007737	1.0494377787769658e-5	0.0021389720009883347	-0.2988450646519785	20	16170848	16212016	1	protein_coding	zyg11	zyg-11 homolog (C. elegans) [Source:NCBI gene;Acc:555349]	907	1008	1469	1121	1137	1007	848	970	725	848	941	999.6009137583914	948.5555846911423	1223.4361249572405	1125.840173132488	1044.5025051768362	998.5387921629525	854.344815510189	835.3621862263496	802.618431701686	861.9405744703403	861.3179735422243
ENSDARG00000056530	1.1069494545427654e-5	0.0022351068191959296	0.29711818269572937	22	21252790	21304247	1	protein_coding	cpamd8	C3 and PZP like alpha-2-macroglobulin domain containing 8 [Source:ZFIN;Acc:ZDB-GENE-050208-428]	436	419	537	486	485	571	541	709	425	566	600	480.51377993236895	394.2904662555443	447.2329469721158	488.09841582728734	445.5441644773664	566.2022346822699	545.0478127252503	610.5894742623525	470.5004599630573	575.3046758846847	549.1931818547657
ENSDARG00000042874	1.1830651230463353e-5	0.0023666779614274144	-0.37814363764571135	25	23524796	23526086	-1	protein_coding	phlda2	pleckstrin homology-like domain, family A, member 2 [Source:NCBI gene;Acc:553622]	308	322	428	392	359	267	264	265	281	253	291	339.4455142641505	303.0108117763371	356.453819933083	393.6925493915569	329.79454648943204	264.756561576473	265.9752727531721	228.2175044845182	311.0838335285155	257.1591572417407	266.3586931995614
ENSDARG00000074526	1.2845392096697206e-5	0.0025460981307260837	0.388788803835453	15	18253542	18361475	-1	protein_coding	zbtb16b	zinc finger and BTB domain containing 16b [Source:ZFIN;Acc:ZDB-GENE-100923-1]	295	294	425	343	351	435	398	596	332	430	433	325.1182685322221	276.6620455349165	353.9553118494399	344.4809807176123	322.44536439496	431.34495987178184	400.9778733172821	513.2740855576334	367.5438887240824	437.06892337529047	396.33441290518925
ENSDARG00000038891	1.3056804767753675e-5	0.002564475154611983	0.5673997932995156	23	37444933	37453984	1	protein_coding	AL954146.1	trypsin I-P1-like [Source:NCBI gene;Acc:560023]	58	100	93	76	90	106	107	153	119	124	111	63.921557880911465	94.10273657650221	77.45375059293626	76.32814733101613	82.67829856281026	105.10934654346869	107.80058403253564	131.7633139099294	131.74012878965604	126.03848022915354	101.60073864313166
ENSDARG00000102758	1.3717494486777086e-5	0.0026699681836650354	-0.7886209161606818	8	52479026	52490474	1	protein_coding	FO704661.1	gamma-glutamyl hydrolase [Source:NCBI gene;Acc:553228]	70	110	103	96	84	51	46	50	61	38	66	77.14670778730694	103.51301023415243	85.78211087174661	96.41450189180985	77.16641199195624	50.57147805393305	46.34417631305271	43.059906506512874	67.53065425352116	38.62469555409544	60.41125000402423
ENSDARG00000101569	1.3939199183874645e-5	0.0026888964139965333	0.22618259179899916	14	24934736	25001584	1	protein_coding	ppargc1b	peroxisome proliferator-activated receptor gamma, coactivator 1 beta [Source:ZFIN;Acc:ZDB-GENE-030616-43]	1024	1266	1330	1167	1353	1363	1428	1566	1197	1502	1326	1128.5461253457472	1191.340645058518	1107.6719170817767	1172.0387886223134	1242.930421727581	1351.5475409315832	1438.6844298921578	1348.6362717839831	1325.1507072371285	1526.6919137434566	1213.7169318990323
ENSDARG00000007219	1.4652071763091214e-5	0.0028013983224919083	0.28683019901901086	13	36321088	36391502	-1	protein_coding	actn1	actinin, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-081113-4]	602	672	943	695	806	891	922	987	726	835	921	663.4616869708397	632.3703897940949	785.364374291816	698.0008209875817	740.4300960180564	883.5134695304773	928.8984904485782	850.0025544385641	803.7254916074814	848.726862833413	843.0115341470654
ENSDARG00000003820	1.5075913391840206e-5	0.002857150077462348	-0.31205907549792283	16	50089417	50111057	1	protein_coding	nr1d2a	nuclear receptor subfamily 1, group D, member 2a [Source:ZFIN;Acc:ZDB-GENE-040504-1]	4330	4465	5866	5333	4714	3994	3423	4472	3234	3777	4453	4772.074924557701	4201.687188140824	4885.4161395501515	5356.026443635645	4330.505549167639	3960.440849949188	3448.6112069473784	3851.278037942511	3580.2317353424173	3839.0914502057494	4075.9287313321197
ENSDARG00000025522	1.622205060505574e-5	0.003047629594106342	-0.29347871347868904	23	31640239	31693309	-1	protein_coding	sgk1	serum/glucocorticoid regulated kinase 1 [Source:NCBI gene;Acc:324140]	1472	1742	2070	1623	1837	1345	1413	1396	1316	1209	1626	1622.2850551845117	1639.2696711626686	1723.9705777137426	1630.0076726084103	1687.5559384431383	1333.6987839713715	1423.5721984857278	1202.2325896618393	1456.8908360267844	1228.875182234247	1488.3135228264152
ENSDARG00000078529	1.7307006014908344e-5	0.003223429870276679	-0.2709690817671356	19	92570	103289	-1	protein_coding	adgrb1b	adhesion G protein-coupled receptor B1b [Source:ZFIN;Acc:ZDB-GENE-081031-45]	1402	1443	1644	1183	1395	1098	1108	1248	965	1148	1296	1545.1383473972048	1357.902488798927	1369.1824298364218	1188.1078722709485	1281.513627723559	1088.7741745729115	1116.290159888313	1074.7752664025613	1068.3128090925889	1166.8723814763568	1186.257272806294
ENSDARG00000069381	1.8169439808223452e-5	0.003355134590227929	-1.7843509263096058	9	33061564	33063083	-1	protein_coding	si:ch211-125e6.5	si:ch211-125e6.5 [Source:ZFIN;Acc:ZDB-GENE-070912-39]	55	104	79	55	48	13	22	12	35	9	22	60.6152704043126	97.8668460395623	65.79404620260178	55.23747504218272	44.095092566832136	12.890768915708424	22.16460606276434	10.33437756156309	38.74709670284001	9.1479542101805	20.137083334674745
ENSDARG00000005690	1.9884103952297756e-5	0.003640644626181297	0.3031247705217145	1	54974191	54997746	-1	protein_coding	slc25a23a	solute carrier family 25 member 23a [Source:ZFIN;Acc:ZDB-GENE-121214-154]	413	412	444	406	438	556	448	617	426	505	511	455.16557594511096	387.7032746951891	369.77919637917955	407.7529975841125	402.36771967234324	551.3282705487603	451.3519780053829	531.3592462903688	471.6075198688527	513.3018751267947	467.7295265463088
ENSDARG00000019130	2.0105069709387044e-5	0.0036501683283303114	-0.29816485760953176	8	17078692	17086195	1	protein_coding	plk2b	polo-like kinase 2b (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-070720-17]	541	571	702	554	587	449	463	534	378	400	595	596.2338416133293	537.3266258518277	584.6508915724867	556.392021333986	539.2462361818847	445.22732639639094	466.4642094118131	459.87980148955745	418.4686443906721	406.57574267468885	544.6165720059761
ENSDARG00000096031	2.065866169769037e-5	0.0037194198831550034	0.4324604693602495	1	49245229	49250490	-1	protein_coding	si:ch73-6k14.2	si:ch73-6k14.2 [Source:ZFIN;Acc:ZDB-GENE-110914-243]	92	112	123	114	116	157	129	140	154	141	155	101.39281594903198	105.39506496568248	102.43883142936731	114.4922209965242	106.56314036984433	155.68082459740174	129.9651900953	120.56773821823604	170.48722549249607	143.31794929282782	141.87490531248116
