Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	Cnt_1 count	Cnt_2 count	Cnt_3 count	Cnt_4 count	Cnt_6 count	Amp_1 count	Amp_2 count	Amp_3 count	Amp_4 count	Amp_5 count	Amp_6 count	Cnt_1 normalised count	Cnt_2 normalised count	Cnt_3 normalised count	Cnt_4 normalised count	Cnt_6 normalised count	Amp_1 normalised count	Amp_2 normalised count	Amp_3 normalised count	Amp_4 normalised count	Amp_5 normalised count	Amp_6 normalised count
ENSDARG00000028507	1.704289095143276e-8	6.346381441996641e-6	0.4910030147512802	8	13106760	13159587	1	protein_coding	itgb4	integrin, beta 4 [Source:ZFIN;Acc:ZDB-GENE-030131-7209]	1090	1210	1624	1316	1332	1819	1783	2056	1407	1831	1282	1201.2844498309223	1138.6431125756767	1352.525709278801	1321.6821301002267	1223.6388187295918	1671.9559787434305	1769.9577979542198	1964.713116997206	1627.0373442708253	1935.080006396057	1549.9875896850185
ENSDARG00000094460	1.768361961063309e-8	6.476327320466584e-6	0.41699462302155405	23	40477220	40480582	1	processed_transcript	CR354556.3	NA	721	674	834	617	715	901	866	951	843	897	767	794.6110902092615	634.2524445256249	694.5852472527832	619.6640382004862	656.833149693437	828.1651109663721	859.6654251420945	908.7753765877154	974.8347414501108	947.9884029149443	927.3326687117077
ENSDARG00000036820	1.7962078854915026e-8	6.476327320466584e-6	-0.35967731890322835	8	26292560	26326501	1	protein_coding	mgll	monoglyceride lipase [Source:ZFIN;Acc:ZDB-GENE-031006-9]	1316	1689	1846	1774	1553	1378	1209	1118	1064	1093	1129	1450.3581064013706	1589.3952207771224	1537.4153074683907	1781.6596495424028	1426.6599740893814	1266.605463830922	1200.1564653542634	1068.3605373554847	1230.3963996475893	1155.1296815897817	1365.0046714152777
ENSDARG00000100185	1.835938742849359e-8	6.506952461095038e-6	-0.8420144761042253	KN150589.1	3626	5397	-1	protein_coding	elovl7b	ELOVL fatty acid elongase 7b [Source:ZFIN;Acc:ZDB-GENE-030131-5485]	177	233	271	308	240	114	94	165	132	120	124	195.07096111933328	219.25937622325014	225.6985635557605	309.3298602362233	220.47546283416068	104.78448684813144	93.3124133526061	157.67396123761623	152.64316236229493	126.82119102541061	149.92079650619525
ENSDARG00000105693	1.861993880568688e-8	6.506952461095038e-6	0.2881016749110165	7	51219008	51249535	-1	transcribed_unprocessed_pseudogene	CR354588.1	insulin receptor substrate 2-B-like [Source:NCBI gene;Acc:794462]	1191	1477	1737	1512	1562	1820	1888	1825	1431	1560	1503	1312.596128209751	1389.8974192349376	1446.6361804293579	1518.5284047960051	1434.9278039456624	1672.875140908765	1874.1897490395777	1743.9695712645432	1654.7906465185154	1648.675483330338	1817.1851382968666
ENSDARG00000042874	2.506991592122019e-8	8.62822939621995e-6	-0.4871442523551103	25	23524796	23526086	-1	protein_coding	phlda2	pleckstrin homology-like domain, family A, member 2 [Source:NCBI gene;Acc:553622]	308	322	428	392	359	294	214	258	223	247	186	339.4455142641505	303.0108117763371	356.453819933083	393.6925493915569	329.79454648943204	270.23367660833895	212.43464316444366	246.5447393897272	257.87443338478613	261.04028486063686	224.88119475929287
ENSDARG00000098256	2.5481765993136298e-8	8.639079321404344e-6	-0.7408481084468155	12	43730276	43819253	-1	protein_coding	si:ch73-329n5.6	si:ch73-329n5.6 [Source:ZFIN;Acc:ZDB-GENE-131121-171]	720	901	1234	924	882	493	512	372	589	545	493	793.5089943837286	847.8656565542849	1027.7196584051974	927.9895807086698	810.2473259155405	453.14694750990174	508.2548471971736	355.4831126084439	681.1122926620584	575.9795759070732	596.0560699802762
ENSDARG00000075048	3.977935038586896e-8	1.3288058000220785e-5	0.3121960860429354	14	34068075	34092744	1	protein_coding	lonrf1	LON peptidase N-terminal domain and ring finger 1 [Source:ZFIN;Acc:ZDB-GENE-101021-4]	541	698	724	584	680	801	837	854	587	697	636	596.2338416133293	656.8371013039855	602.9732841858694	586.5215531751766	624.680478030122	736.2488944329235	830.877552937567	816.0821993752986	678.7995174747509	736.6197512059267	768.9486014350015
ENSDARG00000105341	4.689116507093522e-8	1.543670745777237e-5	0.7074096624782137	23	3538463	3641439	1	protein_coding	si:dkey-9l20.3	si:dkey-9l20.3 [Source:ZFIN;Acc:ZDB-GENE-090313-369]	519	360	737	412	420	678	826	748	737	802	577	571.9877334516043	338.76985167540795	613.8001525483229	413.7789039523506	385.8320599597812	623.1919480967816	819.9580152048153	714.7886242771937	852.2576565228132	847.5882933531609	697.6153192264086
ENSDARG00000092778	5.194011751769198e-8	1.6854568134491046e-5	-2.7581814029684573	3	5083407	5113772	1	protein_coding	si:ch73-338o16.4	si:ch73-338o16.4 [Source:ZFIN;Acc:ZDB-GENE-131119-14]	7	24	21	35	12	2	3	3	6	1	1	7.714670778730694	22.584656778360532	17.489556585501738	35.15112048138901	11.023773141708034	1.8383243306689725	2.978055745295939	2.866799295229386	6.938325561922496	1.0568432585450884	1.2090386815015746
ENSDARG00000104225	5.704358137033619e-8	1.8249928884889953e-5	0.32391118986615014	3	48584684	48612078	-1	protein_coding	ndel1b	nudE neurodevelopment protein 1-like 1b [Source:NCBI gene;Acc:333957]	732	869	835	822	860	1115	1013	1033	884	907	747	806.734144290124	817.7527808498043	695.4180832806643	825.5491724486218	790.0370751557425	1024.8658143479522	1005.5901566615954	987.1345573239853	1022.2466327899144	958.5568355003952	903.1518950816762
ENSDARG00000069566	7.254654726801615e-8	2.2887428072124815e-5	-0.8916897103668505	1	45149844	45157243	-1	protein_coding	mucms1	mucin, multiple PTS and SEA group, member 1 [Source:ZFIN;Acc:ZDB-GENE-061009-17]	96	169	156	137	118	55	51	64	91	78	56	105.80119925116381	159.03362481428874	129.92242034944147	137.59152874143697	108.40043589346234	50.55391909339674	50.626947670030965	61.15838496489357	105.2312710224912	82.4337741665169	67.70616616408817
ENSDARG00000098108	7.938570335512792e-8	2.47020034481059e-5	-0.35022260006142397	8	40628926	40633991	1	protein_coding	dusp2	dual specificity phosphatase 2 [Source:ZFIN;Acc:ZDB-GENE-040801-188]	433	433	543	439	495	380	357	343	332	308	300	477.2074924557701	407.46484937625456	452.22996313940206	440.8954826094221	454.7306420954564	349.28162282710474	354.38863369021675	327.7707194212265	383.9206810930448	325.50772363188725	362.71160445047235
ENSDARG00000074378	8.801968783627069e-8	2.701847580001201e-5	-0.48681654805314756	1	51732979	51734535	-1	protein_coding	junba	JunB proto-oncogene, AP-1 transcription factor subunit a [Source:ZFIN;Acc:ZDB-GENE-040426-2172]	265	437	367	350	418	257	236	283	238	239	187	292.0553937662334	411.22895883931466	305.65082223233986	351.51120481389006	383.9947644361632	236.22467649096296	234.2737186299472	270.43473351663874	275.22024728959235	252.58553879227614	226.09023344079444
ENSDARG00000004748	9.107636323908664e-8	2.7583994546344707e-5	-0.6346575295198447	3	39472342	39488639	-1	protein_coding	zgc:100868	zgc:100868 [Source:ZFIN;Acc:ZDB-GENE-040801-33]	1952	2906	3461	3418	2494	1724	1431	1531	1791	1837	1615	2151.2910514403306	2734.625524913154	2882.4454924962624	3432.7579944396466	2291.1075179516533	1584.6355730366543	1420.532590506163	1463.0232403320633	2071.0901802338653	1941.4210659473276	1952.597470625043
ENSDARG00000041947	9.770857713119805e-8	2.920329380967321e-5	-0.6533104025786076	16	31965340	31976269	-1	protein_coding	styk1b	serine/threonine/tyrosine kinase 1b [Source:ZFIN;Acc:ZDB-GENE-030131-3435]	196	250	263	274	236	159	118	142	133	161	137	216.01078180445944	235.25684144125555	219.03587533271224	275.18305748287395	216.8008717869247	146.1467842881833	117.1368593149736	135.69516664085762	153.79954995594866	170.15176462575926	165.6382993657157
ENSDARG00000102798	1.3155404710440525e-7	3.880844389579955e-5	-0.3364787799407586	22	5632029	5655680	-1	protein_coding	mcm2	minichromosome maintenance complex component 2 [Source:ZFIN;Acc:ZDB-GENE-020419-24]	498	598	622	569	570	468	447	396	353	446	379	548.8437211154122	562.7343647274832	518.0240093420039	571.4567872545813	523.6292242311316	430.16789337653955	443.7303060490949	378.41750697027896	408.2048205597735	471.35209331110946	458.22566028909677
ENSDARG00000041051	1.8758216057059429e-7	5.462729201744935e-5	-0.4473618199648246	9	30263188	30264415	-1	protein_coding	mid1ip1a	MID1 interacting protein 1a [Source:NCBI gene;Acc:30600]	705	803	1134	844	828	593	551	637	557	630	487	776.9775570007342	755.6449747093128	944.4360556170938	847.6441624654949	760.6403467778543	545.0631640433503	546.9695718860208	608.7170503537063	644.1078896651384	665.8112528834057	588.8018378912668
ENSDARG00000088234	1.9486468376925593e-7	5.534323466988818e-5	-1.555584573159671	1	52433847	52437056	-1	protein_coding	si:ch211-217k17.12	si:ch211-217k17.12 [Source:ZFIN;Acc:ZDB-GENE-061207-20]	28	71	58	100	44	19	19	10	30	14	19	30.858683114922776	66.81294296931657	48.30448961710003	100.4317728039686	40.42050151959613	17.464081141355237	18.861019720207615	9.55599765076462	34.691627809612484	14.795805619631238	22.971734948529917
ENSDARG00000074635	1.9491343929522581e-7	5.534323466988818e-5	0.3040414993977956	1	52560549	52628407	1	protein_coding	abca1a	ATP-binding cassette, sub-family A (ABC1), member 1A [Source:ZFIN;Acc:ZDB-GENE-031006-12]	2822	3538	3901	3478	3606	4494	4076	4303	3612	3741	3323	3110.1144196540026	3329.354820076648	3248.893344763918	3493.0170581220277	3312.6438290832643	4130.714771013181	4046.185072608749	4111.945789124016	4176.871988277343	3953.650630217176	4017.6355386297323
ENSDARG00000040649	2.0693015551829967e-7	5.8029857809854036e-5	0.4594452789031625	25	314608	348784	-1	protein_coding	prickle1a	prickle homolog 1a [Source:ZFIN;Acc:ZDB-GENE-030724-5]	240	246	341	261	308	341	379	404	314	336	328	264.5029981279095	231.49273197819545	283.997085507433	262.126927018358	282.9435106371729	313.4342983790598	376.22770915572033	386.0623050908907	363.1057044072773	355.0993348711497	396.5646875325165
ENSDARG00000041294	2.1950000119140192e-7	6.0804177159301154e-5	-0.7226770029169781	3	62161184	62169060	1	protein_coding	noxo1a	NADPH oxidase organizer 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9700]	78	106	96	89	114	60	41	69	46	57	49	85.96347439157059	99.74890077109235	79.95225867657936	89.38427779553204	104.72584484622632	55.14972992006918	40.70009518571117	65.93638379027588	53.19382930807247	60.24006573707004	59.24289539357716
ENSDARG00000102175	2.387088292766219e-7	6.532856695202971e-5	-0.9762935915649252	16	50289916	50292583	1	protein_coding	hamp	hepcidin antimicrobial peptide [Source:NCBI gene;Acc:402837]	108	244	276	149	226	102	69	115	97	121	49	119.02634915755928	229.6106772466654	229.86274369516568	149.6433414779132	207.61439416883465	93.7545408641176	68.4952821418066	109.89397298379313	112.1695965844137	127.8780342839557	59.24289539357716
ENSDARG00000104823	4.898963405943348e-7	1.3247613543571803e-4	-0.4252266141710699	6	23887314	23889678	1	protein_coding	znf648	zinc finger protein 648 [Source:ZFIN;Acc:ZDB-GENE-120215-149]	339	349	503	446	456	375	281	299	239	261	260	373.6104848556722	328.41855065199275	418.91652202416066	447.9257067056999	418.9033793849053	344.68581200043235	278.9445548093863	285.72432975786217	276.3766348832461	275.83609048026807	314.3500571904094
ENSDARG00000007769	5.392929275305857e-7	1.44118104104203e-4	-1.0205939390845835	7	56602521	56606752	-1	protein_coding	sult5a1	sulfotransferase family 5A, member 1 [Source:ZFIN;Acc:ZDB-GENE-060929-978]	54	195	129	170	151	74	46	70	76	68	42	59.51317457877964	183.5003363241793	107.43584759665353	170.7340137667466	138.71581203315944	68.01800023475198	45.66352142787107	66.89198355535234	87.88545711768495	71.86534158106602	50.779624623066134
ENSDARG00000055644	5.534698469606057e-7	1.4618683225244372e-4	-0.7014459608840141	6	39098397	39105480	1	protein_coding	prss60.2	serine protease 60.2 [Source:ZFIN;Acc:ZDB-GENE-050320-109]	74	122	142	101	114	64	70	65	50	75	48	81.55509108943876	114.8053386233327	118.26271595910698	101.43609053200828	104.72584484622632	58.82637858140712	69.48796739023858	62.113984729970035	57.81937968268747	79.26324439088164	58.03385671207558
ENSDARG00000061682	6.135110916732046e-7	1.601828097397338e-4	0.4682694231011785	17	20983798	21049260	-1	protein_coding	bicc1a	BicC family RNA binding protein 1a [Source:ZFIN;Acc:ZDB-GENE-101223-3]	118	158	192	153	153	232	184	203	183	199	173	130.04730741288884	148.68232379087348	159.90451735315872	153.66061239007195	140.55310755677743	213.2456223576008	182.65408571148427	193.9867523105218	211.61892963863613	210.3118084504726	209.1636918997724
ENSDARG00000076914	6.266335902733687e-7	1.617497954893133e-4	-1.0930101938952803	9	18572970	18587754	1	protein_coding	lacc1	laccase (multicopper oxidoreductase) domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-081104-155]	45	40	74	48	46	34	12	20	24	23	17	49.594312148983036	37.64109463060088	61.629866063196594	48.207250945904924	42.25779704321413	31.25151362137253	11.912222981183756	19.11199530152924	27.753302247689984	24.307394946537034	20.553657585526768
ENSDARG00000077982	7.209337289500772e-7	1.84000108461809e-4	-0.5271999691306511	22	661505	665371	1	protein_coding	elf3	E74-like factor 3 (ets domain transcription factor, epithelial-specific ) [Source:ZFIN;Acc:ZDB-GENE-030131-8760]	445	718	637	651	691	437	353	385	397	484	329	490.43264236216555	675.6576486192859	530.5165497602194	653.8108409538355	634.7856034100209	401.67386625117047	350.4178926964888	367.90590955443787	459.0858746805385	511.5121371358228	397.77372621401804
ENSDARG00000052115	8.776965453916997e-7	2.2152085587302732e-4	-1.2419379555401593	25	10410620	10436906	1	protein_coding	ehf	ets homologous factor [Source:ZFIN;Acc:ZDB-GENE-060312-7]	16	37	37	34	28	11	12	7	14	13	13	17.6335332085273	34.81801253330582	30.814933031598297	34.14680275334932	25.72213733065208	10.110783818679348	11.912222981183756	6.689198355535234	16.18942631115249	13.73896236108615	15.71750285952047
ENSDARG00000035309	9.531102829591192e-7	2.3590529485655712e-4	0.34086284227728686	16	8258203	8280885	-1	protein_coding	entpd3	ectonucleoside triphosphate diphosphohydrolase 3 [Source:ZFIN;Acc:ZDB-GENE-030131-6186]	308	342	444	340	348	496	406	425	406	423	324	339.4455142641505	321.8313590916376	369.77919637917955	341.4680275334932	319.689421109533	455.90443400590516	403.0302108633838	406.12990015749637	469.49336302342226	447.0446983645724	391.72853280651015
ENSDARG00000029766	9.554605822937819e-7	2.3590529485655712e-4	0.5833478162594209	9	9502610	9562644	1	protein_coding	nr1i2	nuclear receptor subfamily 1, group I, member 2 [Source:ZFIN;Acc:ZDB-GENE-030903-3]	149	196	200	242	216	288	295	311	225	285	251	164.21227800441048	184.44136368994432	166.56720557620702	243.044890185604	198.4279165507446	264.71870361633205	292.84214828743404	297.1915269387797	260.1872085720936	301.2003286853502	303.4687090568952
ENSDARG00000088439	1.0270186684666642e-6	2.508465489701105e-4	-0.38534098938115335	14	26224541	26227970	1	protein_coding	gm2a	GM2 ganglioside activator [Source:ZFIN;Acc:ZDB-GENE-050417-373]	339	361	454	362	364	294	257	264	264	293	209	373.6104848556722	339.710879041173	378.1075566579899	363.5630175503663	334.38778529847707	270.23367660833895	255.1201088470188	252.278337980186	305.28632472458986	309.65507475371095	252.6890844338291
ENSDARG00000033832	1.0457011443493584e-6	2.5268285616248873e-4	-0.25280000098229916	8	11080571	11112058	-1	protein_coding	ampd1	adenosine monophosphate deaminase 1 (isoform M) [Source:ZFIN;Acc:ZDB-GENE-040426-1906]	22420	24866	28209	21803	22833	22718	18240	20821	16688	18255	14727	24708.98840844888	23399.58647711304	23493.471510496118	21897.139424449273	20975.484345384964	20881.526072068857	18106.57893139931	19896.542708657016	19297.79616289377	19292.673684740592	17805.512662473688
ENSDARG00000099411	1.0567850026606395e-6	2.5268285616248873e-4	-0.5289733131020523	5	9823754	9824908	-1	protein_coding	zgc:158343	zgc:158343 [Source:NCBI gene;Acc:568780]	182	208	242	251	258	164	121	183	136	147	120	200.58144024699806	195.7336920791246	201.54631874721048	252.08374973796117	237.01112254672273	150.74259511485573	120.11491506026954	174.87475700899256	157.26871273690992	155.35595900612802	145.08464178018895
ENSDARG00000020573	1.2235768215544584e-6	2.895161198084325e-4	0.14038003752063147	9	33334501	33354738	1	protein_coding	ddx3xa	DEAD-box helicase 3 X-linked a [Source:ZFIN;Acc:ZDB-GENE-030131-1565]	1966	2369	2659	2128	2444	2596	2553	2611	2039	2275	1951	2166.7203929977923	2229.2938294973374	2214.5109981356723	2137.1881252684516	2245.175129861203	2386.144981208326	2534.3254392468443	2495.0709866146426	2357.874303459995	2404.318413190076	2358.834467609572
ENSDARG00000090526	1.428663674822318e-6	3.3455768426380363e-4	-0.8249985963884124	12	30540911	30549022	-1	protein_coding	zgc:158404	zgc:158404 [Source:ZFIN;Acc:ZDB-GENE-070112-592]	146	160	156	112	167	63	101	73	49	115	60	160.9059905278116	150.56437852240353	129.92242034944147	112.48358554044482	153.4141762221035	57.90721641607263	100.26121009162995	69.75878285058172	56.66299208903372	121.53697473268518	72.54232089009447
ENSDARG00000090969	1.6088690497160465e-6	3.729128618806122e-4	0.5737657595825072	15	556956	568645	-1	protein_coding	cbln18	cerebellin 18 [Source:ZFIN;Acc:ZDB-GENE-111109-3]	175	207	228	184	231	348	267	302	245	331	192	192.86676946826736	194.79266471335958	189.886614356876	184.7944619593022	212.20763297787965	319.8684335364012	265.0469613313386	288.59112905309155	283.3149604451686	349.8151185784243	232.13542684830233
ENSDARG00000040705	1.6298741758656919e-6	3.7396557479585043e-4	0.26437734402673124	9	41273231	41351426	-1	protein_coding	glsb	glutaminase b [Source:ZFIN;Acc:ZDB-GENE-030616-550]	815	967	1135	1004	996	1219	1109	1175	880	1123	987	898.2080978093594	909.9734626947763	945.2688916449748	1008.3349989518447	914.9731707617668	1120.4586795427388	1100.8879405110656	1122.829723964843	1017.6210824152995	1186.8349793461343	1193.321178642054
ENSDARG00000068374	1.6809529356306433e-6	3.8182845932850065e-4	-0.4242540986823919	18	40668615	40684792	-1	protein_coding	si:ch211-132b12.7	si:ch211-132b12.7 [Source:ZFIN;Acc:ZDB-GENE-050419-250]	347	519	517	408	465	385	329	308	265	334	229	382.42725145993586	488.3932028320465	430.5762264144951	409.76163304019184	427.1712092411863	353.8774336537772	326.5934467341213	294.3247276435503	306.4427123182436	352.98564835405955	276.8698580638606
ENSDARG00000039677	1.7234127925563703e-6	3.8759724339522725e-4	0.4946093905137454	20	7262434	7293837	-1	protein_coding	dsc2l	desmocollin 2 like [Source:ZFIN;Acc:ZDB-GENE-031116-55]	831	1112	1514	1210	1091	1670	1367	1662	1372	1650	1151	915.8416310178867	1046.4224307307047	1260.9137462118872	1215.22445092802	1002.2447081336221	1535.000816108592	1357.0007346065163	1588.2068095570799	1586.5637784929443	1743.791376599396	1391.6035224083123
ENSDARG00000096874	1.768230889867342e-6	3.937780849346733e-4	-0.40129264107040796	7	66565572	66576522	1	protein_coding	tmem176l.3b	transmembrane protein 176l.3b [Source:ZFIN;Acc:ZDB-GENE-080829-14]	337	459	521	480	471	327	319	304	312	348	268	371.4062932046063	431.9315608861452	433.9075705260193	482.07250945904923	432.68309581204034	300.566028064377	316.6665942498015	290.5023285832445	360.79292921996984	367.7814539736908	324.022366642422
ENSDARG00000041691	1.8526896006643604e-6	4.085810124183587e-4	-0.3801800631355244	18	16125852	16130165	1	protein_coding	bhlhe41	basic helix-loop-helix family, member e41 [Source:ZFIN;Acc:ZDB-GENE-050419-146]	595	548	727	614	648	433	463	574	385	442	359	655.747016192109	515.6829964392322	605.4717922695125	616.6510850163671	595.2837496522338	397.99721758983253	459.6132700240066	548.5142651538893	445.20922355669353	467.1247202769291	434.0448866590653
ENSDARG00000117613	1.9060319778932042e-6	4.1630304209465516e-4	-0.7688378286549741	23	5132439	5141915	1	lincRNA	CABZ01030033.1	NA	90	73	77	78	98	52	40	43	39	57	39	99.18862429796607	68.69499770084661	64.1283741468397	78.3367827870955	90.02748065728228	47.796432597393284	39.70740993727919	41.090789898287866	45.09911615249623	60.24006573707004	47.15250857856141
ENSDARG00000017780	1.9609390056872356e-6	4.24216471563672e-4	0.2881630249967304	2	49417900	49454451	1	protein_coding	rorcb	RAR-related orphan receptor C b [Source:ZFIN;Acc:ZDB-GENE-040724-215]	1893	2265	2743	2257	2462	2798	2751	2757	2296	2607	2334	2086.2673977338864	2131.4269834577753	2284.4692244776793	2266.745112185571	2261.710789573765	2571.8157386058924	2730.8771184363763	2634.588552315806	2655.0659150290085	2755.190375027046	2821.896282624675
ENSDARG00000102430	2.0177010059422436e-6	4.2911278391306087e-4	-0.497735890836803	11	44858979	44876005	-1	protein_coding	opn6a	opsin 6, group member a [Source:ZFIN;Acc:ZDB-GENE-061201-30]	188	223	254	170	211	150	156	177	103	139	93	207.1940152001958	209.84910256559994	211.54035108178292	170.7340137667466	193.8346777416996	137.87432480017293	154.85889875538882	169.1411584185338	119.1079221463362	146.9012129377673	112.44059737964643
ENSDARG00000029075	2.0280793185789803e-6	4.2911278391306087e-4	0.3858550042816104	6	39993605	40029423	-1	protein_coding	pfkfb4b	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4b [Source:ZFIN;Acc:ZDB-GENE-031031-4]	1592	1729	2186	1760	1988	2730	2032	2563	2189	1920	1866	1754.5365542484665	1627.0363154077234	1820.5795569479426	1767.5992013498471	1826.2717504762977	2509.3127113631476	2017.1364248137827	2449.2021978909725	2531.3324425080573	2029.1390564065698	2256.066179681938
ENSDARG00000053091	2.0402456818230496e-6	4.2911278391306087e-4	0.261271539228305	5	43860564	43959972	-1	protein_coding	DAB2	si:ch211-204c21.1 [Source:ZFIN;Acc:ZDB-GENE-030429-35]	769	868	1076	863	927	1108	994	1049	896	1071	811	847.5116898348434	816.8117534840392	896.1315659999938	866.726199298249	851.5864751969457	1018.4316791906108	986.7291369413879	1002.4241535652087	1036.1232839137595	1131.8791299017898	980.530370697777
ENSDARG00000036848	2.1394034056813022e-6	4.4583989321147506e-4	0.4550292534766429	15	28368644	28405742	1	protein_coding	slc43a2a	solute carrier family 43 member 2a [Source:ZFIN;Acc:ZDB-GENE-040426-964]	761	1037	1155	1145	1060	1486	1448	1297	1147	1285	1104	838.6949232305798	975.845378298328	961.9256122025955	1149.9437986054404	973.766627517543	1365.8749776870466	1437.4082397295067	1239.4128953041713	1326.3765699208504	1358.0435872304388	1334.7787043777384
ENSDARG00000075016	2.1764142688376822e-6	4.494295465149814e-4	-1.0301824665928547	20	53439665	53470252	1	protein_coding	apobb.2	apolipoprotein Bb, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-070705-554]	122	78	81	66	80	41	36	33	31	58	34	134.45569071502067	73.40013452967173	67.45971825836384	66.28497005061926	73.49182094472023	37.68564877871393	35.73666894355127	31.53479224752325	35.84801540326623	61.296908995615134	41.107315171053536
ENSDARG00000021443	2.2241071215508716e-6	4.5514047987412653e-4	-0.2203607292736677	20	9575374	9580446	-1	protein_coding	zfp36l1b	zinc finger protein 36, C3H type-like 1b [Source:ZFIN;Acc:ZDB-GENE-030131-2391]	1593	2143	2403	1824	2224	1934	1541	1763	1459	1547	1348	1755.6386500739993	2016.6216448344423	2001.3049749981274	1831.8755359443871	2043.0726222632225	1777.6596277568963	1529.7279678336809	1684.7223858298025	1687.1694991408203	1634.936520969252	1629.7841426641226
ENSDARG00000088741	2.7953011124484658e-6	5.625760666256467e-4	0.26965217388001766	16	14093781	14167673	-1	lincRNA	BX322530.1	NA	839	1103	1232	963	983	1154	1267	1319	954	1146	941	924.6583976221503	1037.9531844388193	1026.0539863494353	967.1579721022175	903.0307498582498	1060.713138795997	1257.7322097633182	1260.4360901358534	1103.193764345677	1211.1423742926713	1137.7053992929816
ENSDARG00000087911	2.7986394685757463e-6	5.625760666256467e-4	0.4189460805943588	13	35689749	35744963	1	protein_coding	psme4a	proteasome activator subunit 4a [Source:NCBI gene;Acc:793897]	1651	2096	2274	2410	2232	2874	2860	3013	2335	2542	2106	1819.5602079549108	1972.3933586434864	1893.8691274014739	2420.405724575643	2050.4218043576943	2641.6720631713133	2839.0798105154618	2879.22209217538	2700.1650311815047	2686.4955632216147	2546.235463242316
ENSDARG00000055080	2.9456611845844818e-6	5.869359105950571e-4	-0.2564733510799139	7	22796083	22801248	1	protein_coding	rbm4.2	RNA binding motif protein 4.2 [Source:ZFIN;Acc:ZDB-GENE-030131-3019]	788	876	1008	752	919	752	684	729	598	700	538	868.4515105199696	824.3399724101594	839.4987161040833	755.2469314858438	844.2372931024737	691.2099483315336	678.9967099274742	696.6322287407409	691.5197810049422	739.790280981562	650.4628106478472
ENSDARG00000062315	3.0974056541304254e-6	6.06930825143414e-4	0.20717724082168618	15	21779681	21837515	-1	protein_coding	sik2b	salt-inducible kinase 2b [Source:ZFIN;Acc:ZDB-GENE-071012-1]	1315	1559	1799	1408	1683	1757	1811	1876	1452	1578	1378	1449.2560105758375	1467.0616632276694	1498.272014157982	1414.0793610798778	1546.0841831245518	1614.9679244926922	1797.7529849103153	1792.7051592834428	1679.074785985244	1667.6986619841496	1666.0553031091697
ENSDARG00000028096	3.099448633794234e-6	6.06930825143414e-4	-0.4085872332975694	10	15046837	15048781	-1	protein_coding	cldn23a	claudin 23a [Source:ZFIN;Acc:ZDB-GENE-091204-28]	458	533	718	656	588	451	441	398	403	423	323	504.759888094094	501.5675859527568	597.9762680185831	658.832429594034	540.1648839436937	414.5421365658533	437.77419455850304	380.3287065004319	466.024200242461	447.0446983645724	390.5194941250086
ENSDARG00000057408	3.248955362721752e-6	6.307694108053384e-4	0.6158531531991699	15	45668851	45674213	-1	protein_coding	CABZ01067232.1	otolin-1-like [Source:NCBI gene;Acc:101886389]	219	318	324	357	297	501	436	443	331	493	356	241.35898579171743	299.246702313277	269.83887303345534	358.5414289101679	272.83838525727384	460.5002448325776	432.81076831634317	423.3306959288727	382.76429349939104	521.0237264627286	430.41777061456054
ENSDARG00000078093	3.3956631768156023e-6	6.536651615370034e-4	-1.6946376054735983	7	2236317	2242989	1	protein_coding	zgc:172065	zgc:172065 [Source:ZFIN;Acc:ZDB-GENE-080214-2]	15	21	18	27	14	4	3	2	8	5	10	16.531437382994344	19.761574681065465	14.991048501858632	27.11657865707152	12.86106866532604	3.676648661337945	2.978055745295939	1.911199530152924	9.251100749229995	5.284216292725443	12.090386815015746
ENSDARG00000103846	3.6626504923032514e-6	6.991353439720029e-4	-0.3449091867975585	5	2713779	2721686	-1	protein_coding	hspa5	heat shock protein 5 [Source:NCBI gene;Acc:378848]	1450	1874	1888	1531	1780	1358	1296	1333	1164	1258	972	1598.0389470227867	1763.4852834436515	1572.3944206393942	1537.6104416287592	1635.1930160200252	1248.2222205242324	1286.5200819678457	1273.814486846924	1346.0351590129642	1329.5088192497212	1175.1855984195306
ENSDARG00000100020	3.7387413615576936e-6	7.077125835648584e-4	-0.24804004241697036	8	10304981	10308771	1	protein_coding	pim1	Pim-1 proto-oncogene, serine/threonine kinase [Source:ZFIN;Acc:ZDB-GENE-061013-139]	1711	1851	2056	1674	1847	1531	1425	1516	1361	1330	1292	1885.6859574868884	1741.841654031056	1712.310873323408	1681.2278767384341	1696.7424160612284	1407.2372751270984	1414.576479015571	1448.6892438559164	1573.8435149627528	1405.6015338649677	1562.0779765000343
ENSDARG00000094511	3.9071828429573165e-6	7.30903556606491e-4	-1.2910385449384507	24	26006730	26009612	1	protein_coding	ccl20b	chemokine (C-C motif) ligand 20b [Source:ZFIN;Acc:ZDB-GENE-091204-95]	20	56	61	40	41	25	13	12	21	5	20	22.041916510659128	52.69753248284124	50.80299770074314	40.17270912158744	37.66455823416912	22.979054133362155	12.904908229615737	11.467197180917545	24.284139466728735	5.284216292725443	24.180773630031492
